Order_no,Order_Date,Product_id,Category_name,CategoryDesign_name,Type_name,Ruling_name,Qty_Ordered,Total_order_Value,Zone_name
1044,1/1/2017,112,A5 Notebooks,240x180 Design,Soft (Brown),Double line,45,30869,Central
1045,1/1/2017,202,Other Books,216x140 Design,A5 WIRO,Single Line,20,16214,East
1046,1/1/2017,69,A5 Notebooks,240x180 Design,Soft,Single Line,59,25845,North
1047,1/2/2017,139,A4 Notebooks,297x210 Design,Soft,Unruled,24,11190,Central
1048,1/2/2017,45,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Four lines,7,20821,Central
1049,1/2/2017,153,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,42,13494,West
1050,1/2/2017,8,Small Notebooks,190x155 Design,Hard,Maths Ruled,43,23125,East
1051,1/2/2017,10,Small Notebooks,190x155 Design,Soft,Unruled,49,32470,South
1052,1/2/2017,173,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,42,18101,South
1053,1/2/2017,130,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (SL+FL+Med Sq),12,10773,North
1054,1/3/2017,145,A4 Notebooks,297x210 Design,Soft,Single Line,10,27446,Central
1055,1/3/2017,89,A5 Notebooks,240x180 Design,Soft,Medium Square,15,29750,South
1056,1/3/2017,92,A5 Notebooks,240x180 Design,Soft,Medium Square,58,15380,East
1057,1/4/2017,58,A5 Notebooks,240x180 Design,Hard,Single Line,45,32053,East
1058,1/4/2017,19,Small Notebooks,190x155 Design,Soft,Medium Square,57,24726,North
1059,1/4/2017,107,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,51,10357,West
1060,1/4/2017,98,A5 Notebooks,240x180 Design,Soft,Interleaf(SL+Unruled),53,19702,West
1061,1/4/2017,145,A4 Notebooks,297x210 Design,Soft,Single Line,49,29333,Central
1062,1/4/2017,93,A5 Notebooks,240x180 Design,Soft,Medium Square,54,22006,Central
1063,1/4/2017,88,A5 Notebooks,240x180 Design,Soft,Medium Square,17,31636,West
1064,1/4/2017,63,A5 Notebooks,240x180 Design,Soft,Unruled,33,16982,South
1065,1/4/2017,195,Drawing Book,275x347 Design,Drawing Book,BIG,47,26612,South
1066,1/5/2017,51,Long (Soft),272x167 Design,Long (Soft),Single Line,5,19285,East
1067,1/5/2017,125,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,19,11958,North
1068,1/5/2017,181,Practical Books,215x265 Design,Hard,Physics,24,21589,South
1069,1/5/2017,127,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,23,23892,Central
1070,1/5/2017,166,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,14,16565,East
1071,1/5/2017,38,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,48,33238,South
1072,1/6/2017,70,A5 Notebooks,240x180 Design,Soft,Single Line,32,18868,North
1073,1/6/2017,132,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (DL+FL+Med Sq),22,28214,North
1074,1/6/2017,8,Small Notebooks,190x155 Design,Hard,Maths Ruled,53,13844,North
