Sales_no,Sales_date,Product_id,Category_name,CategoryDesign_name,Type_name,Ruling_name,Qty_Sold,Total_Sales_Value,Zone_name
11801,1/1/2017,113,A5 Notebooks,240x180 Design,Soft (Brown),Double line,18,7871,East
11802,1/1/2017,64,A5 Notebooks,240x180 Design,Soft,Unruled,24,8830,North
11803,1/1/2017,161,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Broad line,25,2843,South
11804,1/1/2017,10,Small Notebooks,190x155 Design,Soft,Unruled,13,9790,Central
11805,1/1/2017,167,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,12,6737,Central
11806,1/1/2017,184,Practical Books,215x265 Design,Hard,Combined,2,7697,Central
11807,1/1/2017,77,A5 Notebooks,240x180 Design,Soft,Double line,16,4644,South
11808,1/1/2017,12,Small Notebooks,190x155 Design,Soft,Single Line,18,8657,West
11809,1/1/2017,63,A5 Notebooks,240x180 Design,Soft,Unruled,19,5604,South
11810,1/1/2017,56,Long (Brown),272x167 Brown,Long (Brown),Single Line,9,6563,Central
11811,1/1/2017,174,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,18,3510,Central
11812,1/2/2017,48,Long (Soft),272x167 Design,Long (Soft),Unruled,21,7523,Central
11813,1/2/2017,52,Long (Soft),272x167 Design,Long (Soft),Single Line,17,4470,North
11814,1/2/2017,211,Project Paper,280x220 Design,Project Paper,Interleaf (SL+Unruled),21,11417,North
11815,1/2/2017,122,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,4,2377,North
11816,1/2/2017,169,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,9,6390,North
11817,1/2/2017,63,A5 Notebooks,240x180 Design,Soft,Unruled,12,3337,East
11818,1/2/2017,201,Other Books,176x250 Design,B5 WIRO,Single Line,30,10284,West
11819,1/2/2017,59,A5 Notebooks,240x180 Design,Soft,Unruled,5,4296,North
11820,1/2/2017,137,A4 Notebooks,297x210 Design,Soft,Unruled,13,8190,West
11821,1/2/2017,151,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled,10,2203,South
11822,1/2/2017,44,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Single Line,6,9150,West
11823,1/2/2017,18,Small Notebooks,190x155 Design,Soft,Medium Square,14,3163,Central
11824,1/2/2017,56,Long (Brown),272x167 Brown,Long (Brown),Single Line,24,10110,East
11825,1/2/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,28,11070,South
11826,1/3/2017,91,A5 Notebooks,240x180 Design,Soft,Medium Square,3,8017,West
11827,1/3/2017,147,A4 Notebooks,297x210 Design,Soft,Single Line,28,4964,Central
11828,1/3/2017,5,Small Notebooks,190x155 Design,Hard,Double line,17,8976,Central
11829,1/3/2017,91,A5 Notebooks,240x180 Design,Soft,Medium Square,21,5923,West
11830,1/3/2017,109,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,14,6883,East
11831,1/3/2017,86,A5 Notebooks,240x180 Design,Soft,Four lines,9,3830,North
